epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,11194.3,0.98782,0.88775,1.16709,0.87453,0.81305,0.86755,0.62046,1.18901,0.97729,1.26171,0.000270802,0.000270802,0.000270802
32,11536,0.97913,0.90909,1.14826,0.88299,0.77337,0.8765,0.63226,1.21821,0.98057,1.2799,0.000257595,0.000257595,0.000257595
33,11864.5,0.96178,0.85838,1.15386,0.85247,0.82073,0.8649,0.61517,1.22667,0.98292,1.27827,0.000244389,0.000244389,0.000244389
34,12186.4,0.95489,0.8463,1.1425,0.81774,0.83889,0.87483,0.6298,1.19538,0.95451,1.26886,0.000231182,0.000231182,0.000231182
35,12526.8,0.93051,0.83116,1.14032,0.82219,0.83001,0.89088,0.64589,1.19958,0.93401,1.27436,0.000217976,0.000217976,0.000217976
36,12851.3,0.95813,0.85522,1.14102,0.79427,0.84046,0.88782,0.64437,1.20938,0.96018,1.2852,0.000204769,0.000204769,0.000204769
37,13188.4,0.94338,0.81568,1.14148,0.83438,0.82052,0.88642,0.62623,1.22807,0.97483,1.29409,0.000191562,0.000191562,0.000191562
38,13518.4,0.92261,0.80903,1.13268,0.80785,0.81224,0.87481,0.61583,1.2124,0.97228,1.28857,0.000178356,0.000178356,0.000178356
39,13894.5,0.91219,0.81025,1.12622,0.82448,0.84466,0.88853,0.64601,1.18873,0.95894,1.26675,0.000165149,0.000165149,0.000165149
40,14478.9,0.90575,0.79487,1.10749,0.77761,0.87498,0.88469,0.64631,1.20927,0.93124,1.27629,0.000151943,0.000151943,0.000151943
41,14945.8,0.90819,0.82619,1.12401,0.85475,0.82401,0.88883,0.65025,1.20686,0.97076,1.28203,0.000138736,0.000138736,0.000138736
42,15393.2,0.88251,0.76335,1.09976,0.83645,0.82651,0.87907,0.6471,1.19843,0.93292,1.2726,0.000125529,0.000125529,0.000125529
43,15889.3,0.86859,0.76193,1.10862,0.82481,0.84266,0.88376,0.63762,1.20321,0.92305,1.27675,0.000112323,0.000112323,0.000112323
44,16363.8,0.8587,0.72642,1.09047,0.85565,0.81826,0.89529,0.6495,1.19059,0.90281,1.26631,9.91162e-05,9.91162e-05,9.91162e-05
45,16860,0.83334,0.72758,1.07965,0.79251,0.86061,0.88277,0.64319,1.20242,0.91802,1.28319,8.59096e-05,8.59096e-05,8.59096e-05
46,17627.7,0.84033,0.6996,1.06571,0.81903,0.83784,0.8928,0.6518,1.17977,0.90571,1.26794,7.2703e-05,7.2703e-05,7.2703e-05
47,18130.3,0.81941,0.7092,1.07163,0.80487,0.85443,0.88854,0.65635,1.18162,0.9048,1.26925,5.94964e-05,5.94964e-05,5.94964e-05
48,18647,0.81282,0.681,1.0605,0.80624,0.85133,0.88962,0.65849,1.17523,0.90748,1.25671,4.62898e-05,4.62898e-05,4.62898e-05
49,19123.8,0.81646,0.68377,1.06057,0.79594,0.86207,0.89059,0.66144,1.18289,0.89503,1.25782,3.30832e-05,3.30832e-05,3.30832e-05
50,19521.6,0.80159,0.67933,1.05106,0.79132,0.86956,0.88829,0.65641,1.17465,0.89712,1.25541,1.98766e-05,1.98766e-05,1.98766e-05
