epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,516.233,1.49104,3.73959,1.55072,0.01074,0.79073,0.24864,0.15416,1.32816,4.02938,1.36937,0.00021728,0.00021728,0.00021728
2,976.817,1.32456,2.52101,1.41005,0.81185,0.18731,0.42828,0.27399,1.37337,3.2531,1.43553,0.000430909,0.000430909,0.000430909
3,1368.58,1.31648,2.25746,1.41663,0.51251,0.50431,0.5312,0.3149,1.47219,2.61182,1.49491,0.000635734,0.000635734,0.000635734
4,1738.88,1.32895,2.11976,1.40236,0.67187,0.50214,0.58784,0.37442,1.39574,2.39067,1.49545,0.00062738,0.00062738,0.00062738
5,2148,1.30759,1.97651,1.37595,0.56071,0.59554,0.64028,0.40889,1.35684,2.10761,1.47845,0.000614174,0.000614174,0.000614174
6,2565.27,1.27178,1.81347,1.35186,0.7009,0.67528,0.72312,0.45588,1.33885,1.94831,1.42356,0.000600967,0.000600967,0.000600967
7,2980.21,1.27632,1.72862,1.36383,0.6765,0.69463,0.7528,0.48637,1.30146,1.8486,1.37465,0.00058776,0.00058776,0.00058776
8,3306.1,1.21737,1.59896,1.32934,0.70166,0.70071,0.73121,0.48361,1.3643,1.79356,1.43135,0.000574554,0.000574554,0.000574554
9,3630.32,1.23639,1.58641,1.35133,0.84469,0.68442,0.80632,0.52935,1.33539,1.75188,1.40116,0.000561347,0.000561347,0.000561347
10,3957.02,1.24307,1.55052,1.32548,0.80647,0.73092,0.83063,0.55589,1.31815,1.55378,1.38336,0.000548141,0.000548141,0.000548141
11,4261.58,1.19155,1.47763,1.30478,0.7824,0.70065,0.80596,0.56639,1.26684,1.61442,1.34809,0.000534934,0.000534934,0.000534934
12,4597.07,1.19762,1.4098,1.29918,0.72627,0.7495,0.79434,0.52753,1.33595,1.58558,1.39815,0.000521727,0.000521727,0.000521727
13,4932.53,1.15789,1.33327,1.26579,0.75234,0.71126,0.80894,0.55645,1.27092,1.4273,1.33183,0.000508521,0.000508521,0.000508521
14,5257.67,1.15851,1.29684,1.26489,0.82656,0.73036,0.82458,0.58678,1.28012,1.44402,1.34102,0.000495314,0.000495314,0.000495314
15,5595.76,1.16802,1.2681,1.26351,0.77829,0.77626,0.82797,0.56439,1.28811,1.36195,1.3395,0.000482108,0.000482108,0.000482108
16,5958.3,1.15623,1.26178,1.25855,0.78201,0.68309,0.78861,0.54057,1.29695,1.43827,1.35188,0.000468901,0.000468901,0.000468901
17,6453.32,1.14622,1.19909,1.24902,0.72601,0.74078,0.81621,0.57209,1.3376,1.38288,1.36684,0.000455694,0.000455694,0.000455694
18,6826.7,1.12865,1.14321,1.24356,0.78211,0.72869,0.83302,0.5769,1.28282,1.30442,1.34104,0.000442488,0.000442488,0.000442488
19,7168.92,1.10445,1.11351,1.24088,0.77513,0.81238,0.86231,0.60204,1.26836,1.2443,1.32278,0.000429281,0.000429281,0.000429281
20,7507.87,1.08252,1.15797,1.23701,0.79628,0.81705,0.84337,0.5898,1.24567,1.18533,1.3355,0.000416075,0.000416075,0.000416075
21,7838.99,1.09422,1.10149,1.21347,0.79441,0.79463,0.84842,0.5935,1.25142,1.16317,1.32492,0.000402868,0.000402868,0.000402868
22,8145.41,1.08411,1.08872,1.21556,0.84374,0.78367,0.86132,0.60394,1.25059,1.13057,1.31226,0.000389661,0.000389661,0.000389661
23,8465.1,1.05107,1.03595,1.21136,0.82568,0.80735,0.8499,0.59816,1.22264,1.13208,1.31677,0.000376455,0.000376455,0.000376455
24,8786.33,1.04216,1.02274,1.20674,0.83925,0.78732,0.86156,0.62658,1.21662,1.10182,1.28456,0.000363248,0.000363248,0.000363248
25,9170.52,1.03773,0.97862,1.18536,0.84054,0.77853,0.86294,0.60249,1.22892,1.11269,1.28984,0.000350042,0.000350042,0.000350042
26,9543.57,1.05733,0.96371,1.20258,0.83346,0.78489,0.86416,0.61852,1.20009,1.05415,1.27654,0.000336835,0.000336835,0.000336835
27,9899.82,1.03971,0.97671,1.19112,0.79488,0.82882,0.86199,0.61135,1.21057,1.17751,1.28199,0.000323628,0.000323628,0.000323628
28,10211.3,1.01622,0.9613,1.17264,0.83951,0.77548,0.86646,0.62709,1.19848,1.03695,1.28248,0.000310422,0.000310422,0.000310422
29,10543.4,1.00205,0.93346,1.16791,0.83913,0.78009,0.86897,0.61834,1.22299,1.049,1.28689,0.000297215,0.000297215,0.000297215
30,10880.4,1.00476,0.90782,1.16133,0.85862,0.75901,0.86809,0.62746,1.17247,0.9888,1.25422,0.000284009,0.000284009,0.000284009
