epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,332.767,1.49031,3.73687,1.54584,0.00849,0.78876,0.25556,0.15852,1.28505,3.99583,1.33571,0.00021728,0.00021728,0.00021728
2,628.336,1.33164,2.57268,1.41715,0.84062,0.24093,0.43569,0.26291,1.39734,3.2849,1.44828,0.000430909,0.000430909,0.000430909
3,934.363,1.31102,2.26795,1.4099,0.54329,0.53074,0.52934,0.3102,1.48185,2.48625,1.54437,0.000635734,0.000635734,0.000635734
