epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.539,1.66002,4.13019,1.71834,0.00649,0.61447,0.16436,0.09957,1.42901,4.4162,1.57513,0.00010672,0.00010672,0.00010672
2,257.503,1.40043,3.699,1.50465,0.01025,0.63687,0.18843,0.12367,1.36205,4.22822,1.45037,0.000215752,0.000215752,0.000215752
3,385.631,1.37783,2.9105,1.44128,0.83161,0.04463,0.34113,0.19495,1.43691,3.75511,1.4688,0.000320293,0.000320293,0.000320293
4,531.732,1.30883,2.62487,1.41448,0.57973,0.25023,0.37261,0.2272,1.45745,3.39418,1.48612,0.000420345,0.000420345,0.000420345
5,674.23,1.34872,2.35754,1.44075,0.75639,0.39873,0.561,0.35455,1.42865,2.95292,1.49915,0.000515906,0.000515906,0.000515906
6,796.632,1.28984,2.1231,1.42534,0.45981,0.58849,0.55465,0.34032,1.48355,2.73135,1.54289,0.000600967,0.000600967,0.000600967
7,912.174,1.28628,2.04812,1.3715,0.50427,0.6028,0.63122,0.37638,1.42922,2.43964,1.48479,0.00058776,0.00058776,0.00058776
8,1043.7,1.25725,1.9686,1.35318,0.52435,0.69223,0.63484,0.40546,1.37054,2.95023,1.44344,0.000574554,0.000574554,0.000574554
9,1187.66,1.27766,1.88954,1.40054,0.61717,0.67655,0.68582,0.42548,1.32707,2.45497,1.40275,0.000561347,0.000561347,0.000561347
10,1333.28,1.21384,1.73191,1.3417,0.60355,0.69143,0.70159,0.45729,1.25765,2.19175,1.35481,0.000548141,0.000548141,0.000548141
11,1455.4,1.20469,1.71578,1.33817,0.64857,0.77137,0.76156,0.53146,1.23374,1.89263,1.31502,0.000534934,0.000534934,0.000534934
12,1578.36,1.15077,1.66162,1.29372,0.80277,0.75579,0.82845,0.54587,1.25352,1.73051,1.31422,0.000521727,0.000521727,0.000521727
13,1823.02,1.14822,1.61001,1.29615,0.74674,0.77874,0.82829,0.56375,1.22011,1.74378,1.30941,0.000508521,0.000508521,0.000508521
14,2008.98,1.11652,1.47796,1.28726,0.88198,0.7349,0.85998,0.59007,1.21271,1.70322,1.29156,0.000495314,0.000495314,0.000495314
15,2142.71,1.14832,1.54581,1.29968,0.79436,0.80012,0.84811,0.58973,1.23356,1.63708,1.31839,0.000482108,0.000482108,0.000482108
16,2484.97,1.10985,1.41149,1.25651,0.83425,0.80619,0.86799,0.61884,1.19463,1.61163,1.27916,0.000468901,0.000468901,0.000468901
17,2627.42,1.11864,1.40978,1.26843,0.81739,0.82607,0.86355,0.60141,1.19539,1.59105,1.28699,0.000455694,0.000455694,0.000455694
18,2826.44,1.06811,1.34509,1.21708,0.75278,0.82274,0.85458,0.58296,1.18569,1.64897,1.28356,0.000442488,0.000442488,0.000442488
19,3027.42,1.05879,1.3026,1.22089,0.83547,0.78052,0.88679,0.63645,1.15192,1.56028,1.25211,0.000429281,0.000429281,0.000429281
20,3167.33,1.03253,1.27679,1.22335,0.88234,0.81888,0.91385,0.67175,1.11593,1.46106,1.23806,0.000416075,0.000416075,0.000416075
21,3349.46,1.01978,1.27678,1.20346,0.83842,0.87145,0.91414,0.6718,1.12519,1.37042,1.23354,0.000402868,0.000402868,0.000402868
22,3495.7,1.01411,1.23758,1.17407,0.86522,0.82938,0.89987,0.66848,1.11648,1.4508,1.207,0.000389661,0.000389661,0.000389661
23,3616.66,1.02362,1.26493,1.21027,0.869,0.84521,0.89904,0.66803,1.07795,1.36858,1.19135,0.000376455,0.000376455,0.000376455
24,3762.52,0.99789,1.22919,1.21367,0.89977,0.84588,0.91944,0.68431,1.08267,1.28405,1.18088,0.000363248,0.000363248,0.000363248
25,3959.36,0.98579,1.1564,1.18247,0.89293,0.88249,0.92878,0.68715,1.08679,1.29484,1.17481,0.000350042,0.000350042,0.000350042
26,4107.9,0.97079,1.12997,1.16538,0.83943,0.87897,0.9102,0.6766,1.08489,1.25097,1.17831,0.000336835,0.000336835,0.000336835
27,4234.67,0.98033,1.12679,1.16597,0.84456,0.85906,0.91935,0.69785,1.04604,1.24113,1.15223,0.000323628,0.000323628,0.000323628
28,4381.77,0.99639,1.1393,1.19445,0.877,0.88316,0.93218,0.71289,1.017,1.21167,1.14425,0.000310422,0.000310422,0.000310422
29,4535.53,0.96434,1.10728,1.15249,0.87928,0.8896,0.93592,0.70936,1.04689,1.17786,1.15428,0.000297215,0.000297215,0.000297215
30,4674.89,0.93291,1.07257,1.15004,0.87788,0.88369,0.93108,0.71906,1.00134,1.17788,1.12601,0.000284009,0.000284009,0.000284009
31,4805.8,0.9701,1.07334,1.17302,0.85325,0.88877,0.93872,0.73259,0.99544,1.17929,1.1178,0.000270802,0.000270802,0.000270802
32,4969.77,0.96393,1.06095,1.15028,0.84516,0.89346,0.94672,0.7386,0.9895,1.1549,1.11474,0.000257595,0.000257595,0.000257595
33,5147.96,0.90877,1.02339,1.12548,0.92178,0.8585,0.94945,0.7476,0.96726,1.09179,1.09721,0.000244389,0.000244389,0.000244389
34,5411.98,0.89804,1.0293,1.13898,0.8991,0.88798,0.95625,0.74628,0.97013,1.10529,1.09896,0.000231182,0.000231182,0.000231182
35,5625.95,0.89776,1.0219,1.11872,0.87271,0.86521,0.95305,0.73926,0.99432,1.10927,1.11179,0.000217976,0.000217976,0.000217976
36,5835.93,0.87984,0.97232,1.10973,0.91598,0.87255,0.95193,0.74291,0.96508,1.04602,1.09899,0.000204769,0.000204769,0.000204769
37,6076.66,0.90104,0.98875,1.11541,0.91197,0.89797,0.96224,0.74433,0.93237,1.02367,1.07767,0.000191562,0.000191562,0.000191562
