epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,6252.19,0.87392,0.94191,1.12739,0.93343,0.89734,0.96573,0.74888,0.9293,1.03618,1.06877,0.000178356,0.000178356,0.000178356
39,6439.81,0.87593,0.96584,1.09043,0.91872,0.90495,0.96608,0.76029,0.915,1.03752,1.06609,0.000165149,0.000165149,0.000165149
40,6613.6,0.83103,0.94344,1.09534,0.91672,0.91331,0.9637,0.76414,0.89587,1.01528,1.06616,0.000151943,0.000151943,0.000151943
41,6803.04,0.84318,1.14775,1.11474,0.91917,0.9033,0.96024,0.7549,0.93125,1.03814,1.0776,0.000138736,0.000138736,0.000138736
42,6961.72,0.81168,1.09235,1.09884,0.90974,0.91463,0.95995,0.74165,0.96422,1.06328,1.09867,0.000125529,0.000125529,0.000125529
43,7106.51,0.78341,1.01457,1.04916,0.9202,0.91756,0.96366,0.75131,0.90203,1.01314,1.07147,0.000112323,0.000112323,0.000112323
44,7244.17,0.79992,1.01405,1.08964,0.91662,0.91231,0.9623,0.75341,0.88966,0.99897,1.06656,9.91162e-05,9.91162e-05,9.91162e-05
45,7383.33,0.77447,1.00957,1.07355,0.92307,0.89757,0.9653,0.76472,0.87797,0.98537,1.06086,8.59096e-05,8.59096e-05,8.59096e-05
46,7556.79,0.75342,0.97885,1.0516,0.90368,0.90941,0.96682,0.76588,0.87443,0.97734,1.05487,7.2703e-05,7.2703e-05,7.2703e-05
47,7742.34,0.77665,0.96999,1.0607,0.90172,0.91513,0.96847,0.76688,0.85542,0.96041,1.04582,5.94964e-05,5.94964e-05,5.94964e-05
48,7917.95,0.78735,0.95724,1.06596,0.91129,0.91346,0.96907,0.77532,0.84417,0.95623,1.04045,4.62898e-05,4.62898e-05,4.62898e-05
49,8066.26,0.76663,0.95067,1.02763,0.92665,0.90288,0.96976,0.77511,0.84635,0.95154,1.03943,3.30832e-05,3.30832e-05,3.30832e-05
50,8216.5,0.75334,0.94618,1.06333,0.92407,0.90417,0.9696,0.7703,0.84807,0.95055,1.03958,1.98766e-05,1.98766e-05,1.98766e-05
