class_id,class_name,TP,FP,FN,Precision@0.5,Recall@0.5,AP50,AP50_95,AR50_95
0,Bolt,9,0,18,1.0,0.3333333333333333,0.3726372637263727,0.2114701470147015,0.22222222222222224
1,Frame,29,15,7,0.6590909090909091,0.8055555555555556,0.7540235153041515,0.5939224189378088,0.7138888888888888
2,Wheel,54,32,23,0.627906976744186,0.7012987012987013,0.6469825260905596,0.39726700237619184,0.47662337662337667
3,Wheel Support,101,89,28,0.531578947368421,0.7829457364341085,0.7584798473442818,0.43603066543849034,0.5589147286821705
4,Wrench,22,7,3,0.7586206896551724,0.88,0.8467583022038468,0.5390351104866817,0.6000000000000001
5,Box,48,55,15,0.46601941747572817,0.7619047619047619,0.6566740564852448,0.40425493713924654,0.5587301587301587
6,Flange,12,8,20,0.6,0.375,0.3631070249882131,0.20477722772277226,0.240625
7,Nut,15,58,83,0.2054794520547945,0.15306122448979592,0.13357328314235037,0.06568698792254113,0.08877551020408163
8,Support,6,0,0,1.0,1.0,1.0,0.8134653465346535,0.8333333333333334
9,Table,5,0,2,1.0,0.7142857142857143,0.8514851485148515,0.4892739273927392,0.5142857142857142
10,Washer,7,3,15,0.7,0.3181818181818182,0.3304882212359167,0.19705246386707637,0.21363636363636368
