epoch,train_loss,val_AP50,val_AP50_95
1,0.8612867683548281,0.44875012405492526,0.1952732248285131
2,0.7022968081798557,0.4577096295414379,0.21787678790809092
3,0.6614862852362616,0.5065284197277508,0.2536922447002881
4,0.6502937376792969,0.5510430345317016,0.30030697186892363
5,0.629749885628041,0.5214150051238079,0.28094343894300094
6,0.6023433414590471,0.5656982945388787,0.27487665440065956
7,0.5034293292577993,0.6049937203088924,0.3773955574738143
8,0.4323271217811794,0.6071650803687034,0.37903556197393695
9,0.4040919122659258,0.607351603946189,0.37948288119369283
10,0.38229170090545334,0.610382653548708,0.39565783953026396
11,0.3625178391801352,0.6072166950673732,0.3811318294062312
12,0.34943318327342393,0.6085576364333911,0.3848118060777846
