epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.912,1.56241,3.90336,1.60588,0.00568,0.71809,0.20304,0.1279,1.24538,4.21172,1.33577,0.000216157,0.000216157,0.000216157
2,469.347,1.39727,2.81204,1.44575,0.64022,0.09447,0.37343,0.23729,1.34119,3.66533,1.44135,0.000429809,0.000429809,0.000429809
3,780.213,1.36792,2.40349,1.45468,0.62543,0.36589,0.47284,0.29214,1.40727,3.15334,1.5723,0.000634655,0.000634655,0.000634655
4,1016.35,1.32603,2.19357,1.41634,0.60432,0.55147,0.60058,0.379,1.3641,2.49259,1.52854,0.00062738,0.00062738,0.00062738
5,1261.43,1.35922,2.09399,1.4123,0.64569,0.60094,0.62887,0.36882,1.43272,2.34087,1.54882,0.000614174,0.000614174,0.000614174
6,1513.86,1.3289,1.89543,1.38345,0.79598,0.50389,0.65535,0.38637,1.3999,2.37098,1.50398,0.000600967,0.000600967,0.000600967
7,1773.66,1.33235,1.79417,1.37075,0.69217,0.63768,0.67026,0.39424,1.37139,2.1121,1.4915,0.00058776,0.00058776,0.00058776
8,2109.54,1.28007,1.73057,1.35219,0.78121,0.5257,0.69187,0.45897,1.28133,1.93613,1.39169,0.000574554,0.000574554,0.000574554
9,2466.37,1.27397,1.62234,1.32122,0.69848,0.64743,0.71091,0.4411,1.33736,2.01486,1.45367,0.000561347,0.000561347,0.000561347
10,2892.72,1.23622,1.6083,1.3062,0.57837,0.73261,0.74594,0.45368,1.33591,1.84638,1.42694,0.000548141,0.000548141,0.000548141
11,3230.03,1.2194,1.58257,1.31889,0.82878,0.65632,0.76996,0.49871,1.34945,1.7323,1.45422,0.000534934,0.000534934,0.000534934
12,3568.73,1.23706,1.53886,1.33528,0.69417,0.79072,0.77931,0.49535,1.31019,1.63905,1.40823,0.000521727,0.000521727,0.000521727
