epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,3865.41,1.2144,1.46725,1.28733,0.84436,0.66943,0.79468,0.51728,1.27818,1.66138,1.37287,0.000508521,0.000508521,0.000508521
14,4221.9,1.17123,1.42175,1.27915,0.79119,0.65898,0.75697,0.48236,1.30926,1.55283,1.38978,0.000495314,0.000495314,0.000495314
15,4534.3,1.16461,1.36399,1.28519,0.77501,0.72001,0.80459,0.52943,1.3215,1.52593,1.36809,0.000482108,0.000482108,0.000482108
16,4926.16,1.17496,1.32803,1.25382,0.78147,0.7533,0.82085,0.53625,1.2747,1.42453,1.35791,0.000468901,0.000468901,0.000468901
17,5298.45,1.1656,1.26796,1.24521,0.75446,0.77133,0.81008,0.53008,1.20705,1.41185,1.28987,0.000455694,0.000455694,0.000455694
18,5644.35,1.09273,1.26656,1.2297,0.80668,0.69947,0.81195,0.56014,1.22162,1.33773,1.30316,0.000442488,0.000442488,0.000442488
19,5942.47,1.16882,1.26782,1.26293,0.79935,0.76986,0.82025,0.53097,1.28259,1.37738,1.35565,0.000429281,0.000429281,0.000429281
20,6244.87,1.10463,1.22091,1.21592,0.80076,0.70814,0.79217,0.53546,1.24288,1.36958,1.32282,0.000416075,0.000416075,0.000416075
21,6532.45,1.10186,1.14822,1.2251,0.81637,0.75948,0.81189,0.54835,1.26622,1.3462,1.34967,0.000402868,0.000402868,0.000402868
22,6824.77,1.07655,1.10916,1.19839,0.81577,0.76934,0.81709,0.57062,1.2342,1.27745,1.32684,0.000389661,0.000389661,0.000389661
23,7103.18,1.08963,1.14505,1.21588,0.81892,0.76382,0.83363,0.58001,1.21685,1.26536,1.32593,0.000376455,0.000376455,0.000376455
24,7398.27,1.01895,1.09617,1.19791,0.79299,0.75653,0.81454,0.54005,1.27303,1.36724,1.33857,0.000363248,0.000363248,0.000363248
25,7679.28,1.09247,1.09758,1.20059,0.8213,0.7746,0.82569,0.57487,1.21764,1.19599,1.31555,0.000350042,0.000350042,0.000350042
26,8025.62,1.09087,1.05482,1.21318,0.83551,0.78412,0.85112,0.57224,1.26102,1.18779,1.34658,0.000336835,0.000336835,0.000336835
27,8325.16,1.05499,1.09084,1.20589,0.83997,0.81853,0.83909,0.57709,1.24913,1.20244,1.33977,0.000323628,0.000323628,0.000323628
28,8614.37,1.06287,1.06113,1.19804,0.86684,0.7824,0.86113,0.59595,1.22078,1.12561,1.30634,0.000310422,0.000310422,0.000310422
29,8886.91,1.04936,1.00075,1.17589,0.79438,0.82849,0.84653,0.58494,1.21592,1.1205,1.31728,0.000297215,0.000297215,0.000297215
30,9180.32,1.02189,0.99862,1.18121,0.89062,0.75496,0.84615,0.59373,1.21176,1.12441,1.30234,0.000284009,0.000284009,0.000284009
31,9447.62,1.0281,0.97692,1.17132,0.85883,0.79504,0.84577,0.58089,1.22966,1.11389,1.31067,0.000270802,0.000270802,0.000270802
32,9749.04,0.97751,0.93776,1.15715,0.83684,0.81151,0.85602,0.59163,1.21618,1.06648,1.30949,0.000257595,0.000257595,0.000257595
33,10010.1,1.01172,0.9761,1.16179,0.84238,0.7866,0.8591,0.59367,1.20189,1.06731,1.28552,0.000244389,0.000244389,0.000244389
34,10318.5,0.9827,0.92575,1.15855,0.83656,0.82414,0.84493,0.5869,1.20608,1.04994,1.29382,0.000231182,0.000231182,0.000231182
35,10595,0.97543,0.92137,1.16238,0.8053,0.83257,0.83283,0.5779,1.19399,1.04471,1.28557,0.000217976,0.000217976,0.000217976
36,10871.9,1.00788,0.91915,1.16343,0.76673,0.82587,0.82821,0.56459,1.21246,1.0465,1.29013,0.000204769,0.000204769,0.000204769
37,11261.3,0.96885,0.906,1.141,0.78441,0.85501,0.83503,0.57652,1.21364,1.01546,1.29265,0.000191562,0.000191562,0.000191562
38,11746.8,0.94429,0.89216,1.13036,0.8236,0.81574,0.84685,0.58665,1.20971,1.02354,1.29479,0.000178356,0.000178356,0.000178356
39,12158.5,0.96059,0.89731,1.15513,0.82311,0.82564,0.86025,0.60742,1.19797,1.02011,1.28924,0.000165149,0.000165149,0.000165149
40,12483.8,0.95525,0.86695,1.12868,0.85279,0.83586,0.85898,0.59679,1.1895,0.98261,1.27961,0.000151943,0.000151943,0.000151943
41,12880.7,0.96279,0.93074,1.13173,0.834,0.8277,0.85049,0.60277,1.19431,1.02973,1.29054,0.000138736,0.000138736,0.000138736
42,13293.7,0.91852,0.86916,1.13174,0.82859,0.82602,0.84854,0.60168,1.18903,1.00337,1.291,0.000125529,0.000125529,0.000125529
43,13643.9,0.89857,0.84908,1.10942,0.82211,0.81551,0.84423,0.59149,1.19608,0.98851,1.29217,0.000112323,0.000112323,0.000112323
44,13954.2,0.89644,0.8111,1.12172,0.84189,0.7916,0.84356,0.59048,1.1817,0.98971,1.28354,9.91162e-05,9.91162e-05,9.91162e-05
45,14274.2,0.879,0.80677,1.07894,0.84391,0.77388,0.8435,0.59586,1.16721,0.99859,1.27026,8.59096e-05,8.59096e-05,8.59096e-05
46,14637.2,0.85691,0.79216,1.07032,0.85037,0.77937,0.85001,0.59973,1.17275,0.96985,1.26899,7.2703e-05,7.2703e-05,7.2703e-05
47,15176.6,0.84917,0.78427,1.08436,0.85764,0.79064,0.84993,0.59797,1.17365,0.9716,1.26742,5.94964e-05,5.94964e-05,5.94964e-05
48,15620.7,0.85128,0.7829,1.07621,0.81932,0.8244,0.84529,0.59735,1.17626,0.96813,1.27213,4.62898e-05,4.62898e-05,4.62898e-05
49,15948.1,0.84901,0.76375,1.08128,0.85736,0.79471,0.85045,0.60426,1.15712,0.96045,1.25831,3.30832e-05,3.30832e-05,3.30832e-05
50,16245.5,0.83527,0.75067,1.06989,0.83583,0.79323,0.84681,0.60482,1.16497,0.95811,1.26329,1.98766e-05,1.98766e-05,1.98766e-05
