epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,420.56,1.52284,3.76587,1.584,0.01246,0.66839,0.1971,0.12236,1.34952,4.03935,1.34318,0.0002175,0.0002175,0.0002175
2,984.363,1.36254,2.68745,1.45363,0.85077,0.14667,0.2852,0.17792,1.48645,3.61932,1.52939,0.000431125,0.000431125,0.000431125
3,1504.08,1.32649,2.2312,1.42425,0.51985,0.39486,0.43828,0.28952,1.43898,2.7414,1.47521,0.000635945,0.000635945,0.000635945
4,1960.44,1.34967,2.14764,1.41891,0.57474,0.53528,0.5772,0.35253,1.48589,2.47697,1.51502,0.00062738,0.00062738,0.00062738
5,2411.27,1.32611,1.97656,1.41295,0.5582,0.36674,0.40438,0.24607,1.42813,2.46579,1.46911,0.000614174,0.000614174,0.000614174
6,2865.98,1.30972,1.78752,1.36804,0.77438,0.49308,0.60074,0.36394,1.43294,2.09745,1.42631,0.000600967,0.000600967,0.000600967
7,3305.46,1.2662,1.76423,1.34906,0.77482,0.48028,0.60955,0.38664,1.3596,1.98371,1.38132,0.00058776,0.00058776,0.00058776
8,3719.7,1.26987,1.65751,1.37062,0.5826,0.62414,0.60337,0.39323,1.40676,1.96272,1.45102,0.000574554,0.000574554,0.000574554
9,4246.24,1.25141,1.55083,1.33242,0.66485,0.59555,0.65539,0.43537,1.35085,1.81941,1.40997,0.000561347,0.000561347,0.000561347
10,4674.29,1.21696,1.49024,1.31965,0.66619,0.5701,0.63379,0.39329,1.38082,1.76317,1.41906,0.000548141,0.000548141,0.000548141
