class,precision,recall,AP50,AP50_95
Bolt,0.721,0.5623,0.6293,0.3606
Frame,0.6819,0.7308,0.7409,0.5814
Wheel,0.7722,0.8,0.8153,0.6093
Wheel Support,0.896,0.8906,0.9094,0.6437
Wrench,0.659,0.7627,0.7418,0.5235
Box,0.8588,0.7692,0.827,0.6465
Flange,0.8156,0.6623,0.7442,0.5374
Nut,0.8148,0.6607,0.7695,0.4813
Support,1.0,0.6902,0.8586,0.6267
Table,0.734,1.0,0.9617,0.7857
Washer,0.6312,0.5246,0.6194,0.3966
